cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
"P80000722","BIDEN, JOSEPH R JR","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","2072.3","17-JUN-23","9258.5","S","MARKETING MATERIALS-SIGNS","DOYLE PRINTING AND OFFSET CO.","1722167","A1","F57.4774","202308169596574080","16-AUG-23","2024","1707745",""
"P80000722","BIDEN, JOSEPH R JR","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","7186.2","17-JUN-23","7186.2","S","MERCHANDISE T-SHIRTS","SUMMIT GROUP LLC","1722167","A1","F57.4775","202308169596574080","16-AUG-23","2024","1707745",""
"P80000722","BIDEN, JOSEPH R JR","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","3593.1","17-JUN-23","3593.1","S","MERCHANDISE T-SHIRTS","SUMMIT GROUP LLC","1707745","N","F57.4768","202306179582175099","17-JUN-23","2024","",""
"P80000722","BIDEN, JOSEPH R JR","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","1036.15","17-JUN-23","9258.5","S","MARKETING MATERIALS-SIGNS","DOYLE PRINTING AND OFFSET CO.","1707745","N","F57.4767","202306179582175099","17-JUN-23","2024","",""
"P00009423","HARRIS, KAMALA D.","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","1036.15","17-JUN-23","8222.35","S","MARKETING MATERIALS-SIGNS","DOYLE PRINTING AND OFFSET CO.","1707745","N","F57.4766","202306179582175098","17-JUN-23","2024","",""
"P00009423","HARRIS, KAMALA D.","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","3593.1","17-JUN-23","7186.2","S","MERCHANDISE T-SHIRTS","SUMMIT GROUP LLC","1707745","N","F57.4769","202306179582175099","17-JUN-23","2024","",""
"P00009423","HARRIS, KAMALA D.","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","DEMOCRATIC PARTY","848.75","17-JUN-23","10956","S","MERCHANDISE T-SHIRTS","AFSCME INTERNATIONAL","1707745","N","F57.4765","202306179582175098","17-JUN-23","2024","",""
"H4NY03283","PILIP, MAZI MELESA","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","REPUBLICAN PARTY","1000","31-JAN-24","35717","O","Chinese WeChat digital ad to general public opposing Mazi Pilip  estimate","RED HORSE STRATEGIES","1749887","N","F57.4831","202401319600808996","31-JAN-24","2024","",""
"H4NY03283","PILIP, MAZI MELESA","C90011172","AFSCME WORKING FAMILIES FUND","S","","03","H","REPUBLICAN PARTY","5793","26-JAN-24","5793","O","Mailer to general public opposing Mazi Pilip - Estimate","RED HORSE STRATEGIES","1746491","N","F57.4815","202401269600439098","26-JAN-24","2024","",""
"H4NY03283","PILIP, MAZI MELESA","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","REPUBLICAN PARTY","1000","31-JAN-24","36717","O","Chinese WeChat digital ad to general public opposing Mazi Pilip  estimate","RED HORSE STRATEGIES","1749887","N","F57.4832","202401319600808996","31-JAN-24","2024","",""
"H4NY03283","PILIP, MAZI MELESA","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","REPUBLICAN PARTY","5793","26-JAN-24","5793","O","Mailer to general public opposing Mazi Pilip - Estimate","RED HORSE STRATEGIES","1747331","A1","F57.4815","202401299600469893","29-JAN-24","2024","1746491",""
"H6NY03247","SUOZZI, THOMAS","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","DEMOCRATIC PARTY","21924","26-JAN-24","27717","S","Mailer to general public supporting Tom Suozzi - Estimate","RED HORSE STRATEGIES","1747331","A1","F57.4817","202401299600469893","29-JAN-24","2024","1746491",""
"H6NY03247","SUOZZI, THOMAS","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","DEMOCRATIC PARTY","5000","31-JAN-24","34717","S","Chinese Radio ad to the general public  estimate","RED HORSE STRATEGIES","1749887","N","F57.4830","202401319600808996","31-JAN-24","2024","",""
"H6NY03247","SUOZZI, THOMAS","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","DEMOCRATIC PARTY","9610.28","05-FEB-24","46327.28","S","Chinese mail piece to the general public supporting Tom Suozzi  estimated","RED HORSE STRATEGIES","1754351","N","F57.4840","202402059619676452","05-FEB-24","2024","",""
"H6NY03247","SUOZZI, THOMAS","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","DEMOCRATIC PARTY","1000","31-JAN-24","28717","S","Chinese WeChat digital ad to general public supporting Tom Suozzi estimate","RED HORSE STRATEGIES","1749887","N","F57.4833","202401319600808999","31-JAN-24","2024","",""
"H6NY03247","SUOZZI, THOMAS","C90011172","AFSCME WORKING FAMILIES FUND","S","NY","03","H","DEMOCRATIC PARTY","1000","31-JAN-24","29717","S","Chinese WeChat digital ad to general public supporting Tom Suozzi estimate","RED HORSE STRATEGIES","1749887","N","F57.4834","202401319600808999","31-JAN-24","2024","",""
"H6NY03247","SUOZZI, THOMAS","C90011172","AFSCME WORKING FAMILIES FUND","S","","03","H","DEMOCRATIC PARTY","21924","26-JAN-24","27717","S","Mailer to general public supporting Tom Suozzi - Estimate","RED HORSE STRATEGIES","1746491","N","F57.4817","202401269600439098","26-JAN-24","2024","",""
"H6NY03247","Suozzi, Thomas","C90015140","AFT Solidarity","S","NY","03","H","DEMOCRATIC PARTY","94350","25-JAN-24","94350","S","Digital Ad Buy & Production","Red Horse Strategies","1746449","N","F57.4667","202401269600436904","26-JAN-24","2024","",""
"H6NY03247","Suozzi, Thomas","C90015140","AFT Solidarity","S","NY","03","H","DEMOCRATIC PARTY","155650","25-JAN-24","250000","S","Radio Ad Buy & Production","Red Horse Strategies","1746449","N","F57.4668","202401269600436904","26-JAN-24","2024","",""
"H4AL02121","BREWBAKER, DICK","C00866673","ALABAMA FAMILIES PAC","P","AL","02","H","REPUBLICAN PARTY","4398.79","29-FEB-24","24407.79","O","DIGITAL MEDIA PRODUCTION","FOCUS CREATIVE BIRMINGHAM","1761273","N","SE24.14260","202403029622299849","02-MAR-24","2024","","01-MAR-24"
"H4AL02121","BREWBAKER, DICK","C00866673","ALABAMA FAMILIES PAC","P","AL","02","H","REPUBLICAN PARTY","20009","29-FEB-24","24407.79","O","DIGITAL MEDIA PLACEMENT","GRAY MEDIA GROUP","1761273","N","SE24.14259","202403029622299849","02-MAR-24","2024","","01-MAR-24"
"H2NV03161","BECKER, APRIL","C00787432","ALL FOR OUR COUNTRY","G","NV","03","H","REPUBLICAN PARTY","40684.7","","665055.01","S","Direct Mail - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4162","202301069574456801","06-JAN-23","2024","1649377","12-OCT-22"
"H2NV03161","BECKER, APRIL","C00787432","ALL FOR OUR COUNTRY","G","NV","03","H","REPUBLICAN PARTY","90500","","796239.71","S","Digital Advertising - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4166","202301069574456802","06-JAN-23","2024","1649377","12-OCT-22"
"H2NV04011","HORSFORD, STEVEN ALEXZANDER","C00787432","ALL FOR OUR COUNTRY","G","NV","04","H","DEMOCRATIC PARTY","43300","","323000","O","Direct Mail - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4157","202301069574456800","06-JAN-23","2024","1649377","12-OCT-22"
"H2NV04011","HORSFORD, STEVEN ALEXZANDER","C00787432","ALL FOR OUR COUNTRY","G","NV","04","H","DEMOCRATIC PARTY","39400","","401800","O","Digital Advertising - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4241","202301069574456803","06-JAN-23","2024","1649377","12-OCT-22"
"H6NV04020","LEE, SUSIE","C00787432","ALL FOR OUR COUNTRY","G","NV","03","H","DEMOCRATIC PARTY","40684.7","","705739.71","O","Direct Mail - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4164","202301069574456802","06-JAN-23","2024","1649377","12-OCT-22"
"H6NV04020","LEE, SUSIE","C00787432","ALL FOR OUR COUNTRY","G","NV","03","H","DEMOCRATIC PARTY","90500","","886739.71","O","Digital Advertising - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4168","202301069574456803","06-JAN-23","2024","1649377","12-OCT-22"
"H0NV04023","PETERS, SAMUEL JAMES MR","C00787432","ALL FOR OUR COUNTRY","G","NV","04","H","REPUBLICAN PARTY","39400","","362400","S","Digital Advertising - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4159","202301069574456801","06-JAN-23","2024","1649377","12-OCT-22"
"H0NV04023","PETERS, SAMUEL JAMES MR","C00787432","ALL FOR OUR COUNTRY","G","NV","04","H","REPUBLICAN PARTY","43300","","279700","S","Direct Mail - see Schedule B","Majority Strategies LLC","1674712","A2","SE.4155","202301069574456800","06-JAN-23","2024","1649377","12-OCT-22"
"H2NC05157","HINES, BO","C00860312","AMERICA FIRST NORTH CAROLINA","P","NC","06","H","REPUBLICAN PARTY","2187.53","22-FEB-24","2187.53","S","DIRECT MAIL VOTER GUIDE","SPECTRUM MARKETING","1759675","N","D85UB8T27G3ZZYYED4W3","202402239622282717","23-FEB-24","2024","","23-FEB-24"
"H2NC05157","HINES, BO","C00860312","AMERICA FIRST NORTH CAROLINA","P","NC","06","H","REPUBLICAN PARTY","30000","29-FEB-24","34732.03","S","DIGITAL ADVERTISING","ILLUMIN INC","1761143","N","DJD5SKDNMEYE6R543UG8","202403019622299344","01-MAR-24","2024","","29-FEB-24"
"H2NC05157","HINES, BO","C00860312","AMERICA FIRST NORTH CAROLINA","P","NC","06","H","REPUBLICAN PARTY","2544.5","22-FEB-24","4732.03","S","PRINTING FOR SIGNS","SPECTRUM MARKETING","1759675","N","DTCX4PE3QEBJHFSXXKFC","202402239622282717","23-FEB-24","2024","","23-FEB-24"
"P80001571","TRUMP, DONALD","C00860312","AMERICA FIRST NORTH CAROLINA","P","0","00","P","REPUBLICAN PARTY","2544.5","22-FEB-24","2544.5","S","PRINTING FOR SIGNS","SPECTRUM MARKETING","1759675","N","DNYXK8NY4KJMYZBRM82G","202402239622282718","23-FEB-24","2024","","22-FEB-24"
"S8MS00196","WICKER, ROGER","C00870642","AMERICA FIRST PRIORITIES PAC","P","MS","00","S","REPUBLICAN PARTY","10000","08-MAR-24","10000","O","ADVERTISING PRODUCTION","NEW SOLUTIONS GROUP","1762746","N","DQRS3YNM7Y279DK29QZ9","202403099622356994","09-MAR-24","2024","","09-MAR-24"
"S8MS00196","WICKER, ROGER","C00870642","AMERICA FIRST PRIORITIES PAC","P","MS","00","S","REPUBLICAN PARTY","11910","08-MAR-24","21910","O","ADVERTISING BUY","BULL MOOSE MEDIA PRODUCTION CO","1762746","N","D54JQSXRHAEEXZVCAGXM","202403099622356994","09-MAR-24","2024","","08-MAR-24"
"H4TX26149","GILL, BRANDON","C00864926","AMERICA LEADS ACTION INC.","P","TX","26","H","REPUBLICAN PARTY","997600","12-FEB-24","1028609","O","MEDIA PLACEMENT","DEL CIELO MEDIA LLC","1756012","N","SE.2","202402159619777684","15-FEB-24","2024","","13-FEB-24"
"H4TX26149","GILL, BRANDON","C00864926","AMERICA LEADS ACTION INC.","P","TX","26","H","REPUBLICAN PARTY","31009","12-FEB-24","31009","O","MEDIA PRODUCTION","DEL CIELO MEDIA LLC","1756012","N","SE.1","202402159619777684","15-FEB-24","2024","","13-FEB-24"
"H4TX26149","GILL, BRANDON","C00864926","AMERICA LEADS ACTION INC.","P","TX","26","H","REPUBLICAN PARTY","35382","23-FEB-24","1149491","O","MEDIA PLACEMENT","DEL CIELO MEDIA LLC","1760493","N","SE.2","202402289622291291","28-FEB-24","2024","","27-FEB-24"
"H4TX26149","GILL, BRANDON","C00864926","AMERICA LEADS ACTION INC.","P","TX","26","H","REPUBLICAN PARTY","85500","12-FEB-24","1114109","O","MEDIA PLACEMENT","PREVAIL COMMUNICATIONS","1756012","N","SE.3","202402159619777685","15-FEB-24","2024","","13-FEB-24"
"H4NC08066","HARRIS, MARK","C00864926","AMERICA LEADS ACTION INC.","P","NC","08","H","REPUBLICAN PARTY","125000","02-FEB-24","125000","O","MEDIA PLACEMENT","INVICTUS ADVERTISING","1754841","N","SE.1","202402089619700704","08-FEB-24","2024","","06-FEB-24"
"H4NC08066","HARRIS, MARK","C00864926","AMERICA LEADS ACTION INC.","P","NC","08","H","REPUBLICAN PARTY","762632","02-FEB-24","918132","O","MEDIA PLACEMENT","DEL CIELO MEDIA LLC","1754841","N","SE.3","202402089619700705","08-FEB-24","2024","","06-FEB-24"
"H4NC08066","HARRIS, MARK","C00864926","AMERICA LEADS ACTION INC.","P","NC","08","H","REPUBLICAN PARTY","282435","23-FEB-24","1829252","O","MEDIA PLACEMENT","DEL CIELO MEDIA LLC","1760493","N","SE.1","202402289622291291","28-FEB-24","2024","","27-FEB-24"
"H4NC08066","HARRIS, MARK","C00864926","AMERICA LEADS ACTION INC.","P","NC","08","H","REPUBLICAN PARTY","503685","15-FEB-24","1546817","O","MEDIA PLACEMENT","DEL CIELO MEDIA LLC","1758753","N","SE.1","202402219622160701","21-FEB-24","2024","","20-FEB-24"
"H4NC08066","HARRIS, MARK","C00864926","AMERICA LEADS ACTION INC.","P","NC","08","H","REPUBLICAN PARTY","125000","17-FEB-24","1043132","O","MEDIA PLACEMENT","INVICTUS ADVERTISING","1756810","N","SE.1","202402189619793609","18-FEB-24","2024","","17-FEB-24"
"H4NC08066","HARRIS, MARK","C00864926","AMERICA LEADS ACTION INC.","P","NC","08","H","REPUBLICAN PARTY","30500","02-FEB-24","155500","O","MEDIA PRODUCTION","DEL CIELO MEDIA LLC","1754841","N","SE.2","202402089619700704","08-FEB-24","2024","","06-FEB-24"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","60000","03-AUG-23","104597.97","S","Media Placement","Pinpoint Media LLC","1721134","N","EDF86D4E460BB43A5AA1","202308079596498889","07-AUG-23","2024","","07-AUG-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","719.83","25-MAY-23","50657.89","S","Text Advertising","Grassroots For You LLC","1705947","N","EE5501957D0724C7BB86","202305269581681496","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","5564.07","09-MAY-23","50657.89","S","Ad Production","Rival Strategy Group LLC","1705947","N","E6FBB14503DF44298B02","202305269581681494","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","35000","09-MAY-23","50657.89","S","Ad Placement - Digital","Rival Strategy Group LLC","1705947","N","E0BDCA1F1F0E94E6C905","202305269581681495","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","75000","07-JUL-23","369849.47","S","Canvassing: Door-To-Door","Marquette Enterprises LLC","1710225","N","ED90D3ED55E474F60895","202307079582444126","07-JUL-23","2024","","07-JUL-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","467.34","19-JUL-23","369686.81","S","Text Advertising","Grassroots For You LLC","1716755","N","EAC2F9AD7F8294BE48A0","202307219583990290","21-JUL-23","2024","","17-JUL-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","8750","20-JUL-23","378436.81","S","Ad Production","Alfano Communications","1716755","N","EA13BE02EC801479AB40","202307219583990290","21-JUL-23","2024","","19-JUL-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","75000","21-JUL-23","453436.81","S","Canvassing: Door-To-Door","Marquette Enterprises LLC","1716755","N","ECE51A08840B14D06B06","202307219583990292","21-JUL-23","2024","","21-JUL-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","400","27-OCT-23","490520.55","S","Ad Production","Gilmore Strategy Group","1733908","N","EA6A44EBAC7864C21945","202310299598879337","29-OCT-23","2024","","28-OCT-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","36683.74","19-OCT-23","490520.55","S","Newspaper Advertising","Customized Newspaper Advertising","1733908","N","E0894F67778BF4FCCAFA","202310299598879337","29-OCT-23","2024","","28-OCT-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","700","10-JAN-24","14700","S","Ad Production","Gilmore Strategy Group","1743265","N","ECD6C245D64CC441EA53","202401149600069493","14-JAN-24","2024","","14-JAN-24"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","14000","10-JAN-24","14700","S","Digital Advertising","Lee Enterprises Advertising","1743265","N","E3138A57B5A8F444EA1B","202401149600069493","14-JAN-24","2024","","14-JAN-24"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","NH","00","P","REPUBLICAN PARTY","354.63","25-MAY-23","354.63","S","Text Advertising","Grassroots For You LLC","1705947","N","EC427EA33AC8D4789AC0","202305269581681494","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","SC","00","P","REPUBLICAN PARTY","1464.87","25-MAY-23","22633.18","S","Text Advertising","Grassroots For You LLC","1705947","N","E50C02F7E0E5249E78D6","202305269581681495","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","SC","00","P","REPUBLICAN PARTY","2782.03","09-MAY-23","22633.18","S","Ad Production","Rival Strategy Group LLC","1705947","N","EAF101450A1BE4E5FBA3","202305269581681496","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","SC","00","P","REPUBLICAN PARTY","16000","09-MAY-23","22633.18","S","Ad Placement - Digital","Rival Strategy Group LLC","1705947","N","E8A0E5D1905634BCEA2E","202305269581681497","26-MAY-23","2024","","24-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","86597.79","11-DEC-23","577118.34","S","Direct Mail","Gilmore Strategy Group","1739504","N","EE3B4BBD4EF9349E884A","202312189599510793","18-DEC-23","2024","","18-DEC-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","AR","00","P","REPUBLICAN PARTY","794.37","30-MAY-23","7519.59","S","Text Advertising","Grassroots For You LLC","1706241","N","E7EF7CDDBC47841DEA09","202306019581697042","01-JUN-23","2024","","26-MAY-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","12000","30-MAY-23","137657.89","S","Printing: Push Cards","Gilmore Strategy Group","1706241","N","EEB7285A6449947508D6","202306019581697042","01-JUN-23","2024","","01-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","75000","23-MAY-23","137657.89","S","Canvassing: Door-To-Door","Marquette Enterprises LLC","1706241","N","E898F0B76AF1A481FADD","202306019581697043","01-JUN-23","2024","","01-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","AR","00","P","REPUBLICAN PARTY","24090","10-AUG-23","31609.59","S","Text/Telephone Communications","Telephone Townhall Meeting, Inc.","1721633","N","E220410979AE74AE6AA0","202308129596546953","12-AUG-23","2024","","10-AUG-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","24090","11-AUG-23","128687.97","S","Text/Telephone Communications","Telephone Townhall Meeting, Inc.","1721633","N","E3B504F0258F04CB687E","202308129596546953","12-AUG-23","2024","","11-AUG-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","2895.95","20-JUN-23","215839.42","S","Text Advertising","Grassroots For You LLC","1708782","N","E69A402EF41894CA78D7","202306239582375030","23-JUN-23","2024","","17-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","3670.1","23-JUN-23","14659.58","S","Text Advertising","Grassroots For You LLC","1708782","N","E5BAC4214F9A5429AA1A","202306239582375033","23-JUN-23","2024","","22-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","4010.05","21-JUN-23","219849.47","S","Text Advertising","Grassroots For You LLC","1708782","N","E025C67C93207485BB4F","202306239582375030","23-JUN-23","2024","","20-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","5000","06-JUN-23","10989.48","S","Ad Production","Rival Strategy Group LLC","1708782","N","EDA765F2F55E94F079B4","202306239582375032","23-JUN-23","2024","","21-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","5989.48","23-JUN-23","10989.48","S","Text Advertising","Grassroots For You LLC","1708782","N","EFCBF50D3DB38410E8FE","202306239582375032","23-JUN-23","2024","","21-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","2548.18","","32115.39","S","Text Advertising","Grassroots For You LLC","1708836","N","E4278BD7A7130431B902","202306259582375541","25-JUN-23","2024","","24-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","4907.63","","29567.21","S","Text Advertising","Grassroots For You LLC","1708836","N","E64145640A5CD49FAABF","202306259582375539","25-JUN-23","2024","","23-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","10000","21-JUN-23","29567.21","S","Digital Advertising: Google","Rival Strategy Group LLC","1708836","N","E05F5DBFFC11D496D9A8","202306259582375539","25-JUN-23","2024","","23-JUN-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","2000","14-AUG-23","133687.97","S","Database List Services","i360, LLC","1722336","N","E47486AFB1D644546A9B","202308179596585093","17-AUG-23","2024","","15-AUG-23"
"P40011850","Hutchinson, W. Asa","C00831552","AMERICA STRONG AND FREE ACTION INC.","P","IA","00","P","REPUBLICAN PARTY","3000","15-AUG-23","133687.97","S","Text Advertising","The Big Red LLC","1722336","N","EFD3074A3595044CC8F9","202308179596585093","17-AUG-23","2024","","15-AUG-23"
